medal,name,nationality,location,year,gender,prueba,mark,mark_x,mark_xx,mark_unidades
G,Herb ELLIOTT,AUS,Rome,1960,M,1500M,3:35.6,03:35.6,,segundos
S,Michel JAZY,FRA,Rome,1960,M,1500M,3:38.4,03:38.4,,segundos
B,IstvÃ¡n RÃZSAVÃLGYI,HUN,Rome,1960,M,1500M,3:39.2,03:39.2,,segundos
G,Joseph BARTHEL,LUX,Helsinki,1952,M,1500M,3:45.2,03:45.2,,segundos
S,Robert MCMILLEN,USA,Helsinki,1952,M,1500M,3:45.2,03:45.2,,segundos
B,Werner LUEG,GER,Helsinki,1952,M,1500M,3:45.4,03:45.4,,segundos
G,John LOVELOCK,NZL,Berlin,1936,M,1500M,3:47.8,03:47.8,,segundos
S,Glenn CUNNINGHAM,USA,Berlin,1936,M,1500M,3:48.4,03:48.4,,segundos
B,Luigi BECCALI,ITA,Berlin,1936,M,1500M,3:49.2,03:49.2,,segundos
G,Harri LARVA,FIN,Amsterdam,1928,M,1500M,3:53.2,03:53.2,,segundos
S,Jules LADOUMEGUE,FRA,Amsterdam,1928,M,1500M,3:53.8,03:53.8,,segundos
B,Eino PURJE,FIN,Amsterdam,1928,M,1500M,3:56.4,03:56.4,,segundos
G,Albert HILL,GBR,Antwerp,1920,M,1500M,4:01.8,04:01.8,,segundos
S,Philip BAKER,GBR,Antwerp,1920,M,1500M,4:02.4,04:02.4,,segundos
B,Lawrence SHIELDS,USA,Antwerp,1920,M,1500M,4:03.1,04:03.1,,segundos
G,Melvin SHEPPARD,USA,London,1908,M,1500M,4:03.4,04:03.4,,segundos
S,Harold WILSON,GBR,London,1908,M,1500M,4:03.6,04:03.6,,segundos
B,Norman HALLOWS,GBR,London,1908,M,1500M,4:04.0,04:04.0,,segundos
G,Charles BENNETT,GBR,Paris,1900,M,1500M,4:06.2,04:06.2,,segundos
S,Henri DELOGE,FRA,Paris,1900,M,1500M,4:06.6,04:06.6,,segundos
B,John BRAY,USA,Paris,1900,M,1500M,4:07.2,04:07.2,,segundos
G,Taoufik MAKHLOUFI,ALG,London,2012,M,1500M,3:34.08,00:03:34.08,214.08,segundos
